,Título,Ativos,CEPs,Ratings,estado_localidade
139,FATN11,"['EDIFÍCIO ATRIUM I', 'EDIFÍCIO CONSELHEIRO PARANAGUÁ', 'EDIFÍCIO ÉRIKA', 'EDIFÍCIO BANCO MERCANTIL DO BRASIL', 'EDIFÍCIO HARVARD', 'EDIFÍCIO BUSINESS CENTER JARDINS', 'EDIFÍCIO SETIN TOWER', 'EDIFÍCIO NETWORK', 'EDIFÍCIO ATRIUM II', 'EDIFÍCIO ATRIUM VII', 'EDIFÍCIO ARANDU', 'EDIFÍCIO MONTREAL', 'EDIFÍCIO OLYMPIA PARK', 'EDIFÍCIO GC SQUARE CORPORATE', 'EDIFÍCIO IRACEMA', 'EDIFÍCIO AEROPORTO II', 'EDIFÍCIO AEROPORTO I', 'EDIFÍCIO THERA BERRINI', 'EDIFÍCIO MANHATTAM', 'EDIFÍCIO FORTALEZA', 'EDIFÍCIO MAXIMUM', 'EDIFÍCIO AV. PAULISTA', 'EDIFÍCIO LAFAYETTE', 'EDIFÍCIO NAÇÕES UNIDAS III', 'EDIFÍCIO COLUMBUS', 'EDIFÍCIO FRANCISCO LOPES', 'EDIFÍCIO THE TAJ', 'EDIFÍCIO BRASIF', 'EDIFÍCIO ATRIUM IV', 'EDIFÍCIO ATRIUM JARDINS', 'EDIFÍCIO ATRIUM VIII', 'EDIFÍCIO BUENO BUSINESS TOWER', 'EDIFÍCIO JF 100', 'EDIFÍCIO MILLENNIUM', 'EDIFÍCIO MYKONOS', 'EDIFÍCIO PLAZA I', 'EDIFÍCIO RESULT CORPORATE PLAZA', 'EDIFÍCIO SPAZIO CENTRALE', 'EDIFÍCIO BEIRA RIO', 'EDIFÍCIO SANTA FILIPPA', 'EDIFÍCIO RONALDO SAMPAIO FERREIRA', 'EDIFÍCIO WILSON MENDES CALDEIRA', 'EDIFÍCIO BUSINESS CENTER', 'EDIFÍCIO CENTER DR. NAUR MARTINS', 'EDIFÍCIO MONUMENTO']",[],[],[]
140,FCFL11,['INSTITUTO DE ENSINO E PESQUISA'],[],[],[]
141,FEXC11,[],[],[],[]
142,FGAA11,[],[],[],[]
143,FIGS11,"['PRQ SHOPPING MAIA', 'BONSUCESSO SHOPPING']",[],[],[]
144,FIIB11,[],[],[],[]
145,FIIP11B,"['DANFOSS', 'CERVEJARIA AMBEV', 'PERNAMBUCANAS', 'BARRY CALLEBAUT', 'MAGAZINE LUIZA', 'C&A', 'TELHA NORTE']",[],[],[]
146,FISC11,"['SC 401 SQUARE CORP.', 'W TOWER']",[],[],[]
147,FLCR11,[],[],[],[]
148,FLFL11,[],[],[],[]
149,FLMA11,"['CONTINENTAL SQUARE', 'HOTEL PULLMAN']",[],[],[]
150,FLRP11,['FLORIANÓPOLIS SHOPPING CENTER'],[],[],[]
151,FMOF11,['EDIFÍCIO MEMORIAL OFFICE'],[],[],[]
152,FPAB11,"['EDIFÍCIO NEW YORK', 'EDIFÍCIO LOS ANGELES']",[],[],[]
153,FRHY11,[],[],[],[]
154,FVPQ11,['SHOPPING VIA PARQUE'],[],[],[]
155,FZDA11,[],[],[],[]
156,FZDB11,[],[],[],[]
157,GALG11,"['AIR LIQUIDE - CANOAS', 'BRF - PERNAMBUCO', 'BRF - SALVADOR', 'AIR LIQUIDE - SÃO JOSÉ DOS CAMPOS', 'SOUZA CRUZ - CACHOEIRINHA']",[],[],[]
158,GAME11,[],[],[],[]
